timestamp,field,top_k,reciprocal,unique_pairs,directed_edges,reciprocal_pairs,one_way_pairs,avg_score,min_score,max_score,p50,p75,p90,p95,unique_pairs_ge_07,unique_pairs_ge_08,unique_pairs_ge_085,unique_pairs_ge_09
2026-05-19T01:53:49.413028,source,5,True,13344,26688,13344,0,0.9113789583241206,0.8346633799705138,0.9993931657905488,0.9083187617173444,0.9256543722679829,0.9456213536698612,0.9592562691349171,13344,13344,13327,8631
2026-05-19T01:54:01.317892,source,10,True,25984,51968,25984,0,0.9046839653659345,0.8341968734510894,0.9993931657905488,0.9019100976580045,0.9172460173615402,0.9348599475086958,0.9475962516058813,25984,25984,25933,13924
2026-05-19T01:54:14.345962,source,15,True,38383,76766,38383,0,0.9001107816721526,0.8341968734510894,0.9993931657905488,0.8972051943842998,0.9118188454071221,0.9279437248110494,0.9404285589918819,38383,38383,38265,17132
2026-05-19T01:54:30.561833,source,20,True,50529,101058,50529,0,0.8967926386290845,0.8313658558460891,0.9993931657905488,0.8939454144702387,0.9079183888358013,0.9235746727217026,0.9356351785322157,50529,50529,50329,19140
2026-05-19T01:54:50.914125,source,25,True,62586,125172,62586,0,0.8941580136060506,0.8298747402195468,0.9993931657905488,0.8912628920069339,0.9048091555911612,0.919940227088165,0.9317604210785881,62586,62586,62286,20445
2026-05-19T01:54:57.122577,system_state,5,True,5261,10522,5261,0,0.9154566981117974,0.8289017253803125,0.9996011690693258,0.9106718391526853,0.9343799139892133,0.9605056494616664,0.9748946066442785,5261,5261,5241,3379
2026-05-19T01:55:02.670963,system_state,10,True,10588,21176,10588,0,0.9080119359530583,0.8283305087128738,0.9996011690693258,0.9032122515837249,0.9252108570098481,0.948957077038903,0.9627536785460328,10588,10588,10539,5778
2026-05-19T01:55:09.260703,system_state,15,True,15739,31478,15739,0,0.9037001477702756,0.828295515770107,0.9996011690693258,0.8991787270287798,0.9195473704508215,0.9425800069105259,0.9563655770058652,15739,15739,15643,7637
2026-05-19T01:55:16.806179,system_state,20,True,20988,41976,20988,0,0.9003868213502796,0.8255773548170804,0.9996011690693258,0.8958510111984913,0.9153234310272236,0.9379027152600059,0.9509742915288277,20988,20988,20800,9109
2026-05-19T01:55:26.424367,system_state,25,True,26167,52334,26167,0,0.8977081658423038,0.8249619628066958,0.9996011690693258,0.8934435882701378,0.912152542160344,0.9343157279571368,0.9475221719254505,26167,26167,25860,10291
2026-05-19T01:55:36.208702,reason,5,True,11178,22356,11178,0,0.9313409294800706,0.8510062332622961,0.9997610412777105,0.929766150774914,0.9534661878431192,0.9718395772504059,0.9810218139272534,11178,11178,11178,9505
2026-05-19T01:55:45.719127,reason,10,True,22163,44326,22163,0,0.9252702268753437,0.8470021144209585,0.9997610412777105,0.9234947419517612,0.9448117558951632,0.9630186097305075,0.9740532890828484,22163,22163,22159,17865
2026-05-19T01:55:55.755880,reason,15,True,33112,66224,33112,0,0.9211354041666854,0.8436387263505962,0.9997610412777105,0.9191068085426877,0.9392623995050107,0.9577781396036571,0.9689644421964783,33112,33112,33104,25405
2026-05-19T01:56:09.674754,reason,20,True,43967,87934,43967,0,0.9179167039385628,0.8448692859559765,0.9997610412777105,0.9158477762617123,0.9354724951263964,0.95424195130272,0.9651149265982731,43967,43967,43950,32172
2026-05-19T01:56:25.448917,reason,25,True,54859,109718,54859,0,0.9153372011149049,0.8427885697483302,0.9997610412777105,0.9132331098713491,0.9322939798500675,0.9510074288139281,0.9618663886854879,54859,54859,54820,38399
2026-05-19T01:56:37.449173,attacker_action,5,True,13577,27154,13577,0,0.9357065760048893,0.8554575394767585,0.9997684959151986,0.9354599558017271,0.9562844765042657,0.9744447135281281,0.9846894007961275,13577,13577,13577,12066
