relationship_type,relationship_count
SIMILAR_TO,393444
HAS_VERSION,5984
AFFECTS_SOFTWARE,4502
HAS_VULNERABILITY_TYPE,4471
HAS_VENDOR,4426
CAUSES_CONSEQUENCE,4414
EXPLOITED_BY_ACTION,4306
REQUIRES_NETWORK_ACCESS,4114
REQUIRES_USER_INTERACTION,4104
HAS_SOURCE,4087
HAS_REASON,3745
HAS_TRIGGER,3564
REQUIRES_PRIVILEGE,3504
BELONGS_TO_VENDOR,2615
REQUIRES_SYSTEM_STATE,1446
MENTIONS_OS,553
