node_count,avg_vulnerabilities_per_node,max_vulnerabilities_per_node,p50_vulnerabilities_per_node,p90_vulnerabilities_per_node,avg_unique_neighbor_degree,max_unique_neighbor_degree,p50_unique_neighbor_degree,p90_unique_neighbor_degree,field
2778,1.348092152627789,65.0,1.0,1.0,23.838732901367926,164.0,20.0,36.0,Reason
3354,1.2838401908169348,104.0,1.0,1.0,23.756112104949302,98.0,20.0,38.0,AttackerAction
3442,1.2823939570017437,88.0,1.0,1.0,23.486345148169654,100.0,20.0,36.0,Consequence
3037,1.1735265064208058,72.0,1.0,1.0,23.80507079354626,105.0,20.0,38.0,Trigger
1339,1.0799103808812553,24.0,1.0,1.0,15.81478715459297,79.0,13.0,25.0,SystemState
3381,1.208813960366754,57.0,1.0,1.0,15.370600414078694,76.0,13.0,24.0,Source
973,4.595066803699885,284.0,1.0,6.0,21.8520041109969,67.0,19.0,32.0,VulnerabilityType
