id,class,plain_language,runtime_ms,row_count,params
Q1,Structural filtering,Find high-severity vulnerabilities affecting software from a specific vendor within a publication date range.,13.705,10,"{""vendor"": ""microsoft"", ""start_date"": ""2020-01-01"", ""end_date"": ""2024-12-31"", ""min_cvss"": 7.0, ""limit"": 10}"
Q2,Multi-hop traversal,"For a vendor, retrieve vulnerabilities together with required privilege, network access, and consequences.",32.225,10,"{""vendor"": ""microsoft"", ""limit"": 10}"
Q3,Semantic neighborhood search,"Given an attacker-action keyword, retrieve distinct CVEs whose attacker actions are semantically close to the matched seed action, while emphasizing non-exact semantic matches rather than repeated keyword matches.",497.554,10,"{""keyword"": ""execute arbitrary code"", ""sim_threshold"": 0.9, ""limit"": 10}"
Q4,Similar-vulnerability discovery,"Find unique vulnerability pairs whose reason, attacker action, and consequence are semantically similar, and retain only the strongest semantic explanation for each CVE pair.",596.713,10,"{""sim_threshold"": 0.9, ""limit"": 10}"
Q5,Context-filtered semantic-cluster correlation,"Find frequent semantic Reason--Consequence correlations by first building query-context-filtered temporary WCC clusters for Reason and Consequence nodes, then ranking observed cluster pairs by distinct CVE support.",2228.875,8,"{""vendor"": ""microsoft"", ""software"": null, ""from_date"": ""2020-01-01T00:00:00"", ""to_date"": ""2024-12-31T23:59:59"", ""threshold"": 0.92, ""min_support"": 3, ""limit"": 10}"
Q6,Cross-vendor semantic transfer,Find vulnerabilities from different vendors that share semantically similar exploitation mechanisms.,628.649,10,"{""sim_threshold"": 0.92, ""limit"": 10}"
Q7,Context-filtered semantic ranking,"For Microsoft vulnerabilities published in 2024, create a temporary Reason-only semantic projection restricted to the filtered CVE set, run WCC over that filtered projection, and rank reason components by distinct CVE count.",105.122,10,"{""vendor"": ""microsoft"", ""from_date"": ""2020-01-01T00:00:00"", ""to_date"": ""2024-12-31T23:59:59"", ""threshold"": 0.92, ""limit"": 10}"
